SIGLA;UF_CIDADE;DESCRICAO;CRECHE_PARCIAL;CRECHE_INTEGRAL;PRE_PARCIAL;PRE_INTEGRAL;FUND1_PARCIAL;FUND1_INTEGRAL;FUND2_PARCIAL;FUND2_INTEGRAL;MEDIO_PARCIAL;MEDIO_INTEGRAL;EJA_FUND;EJA_MEDIO;TOTAL_REGULAR;POR_CENTO;PRE_PARCIAL_AEE;PRE_INTEGRAL_AEE;FUND1_PARCIAL_AEE;FUND1_INTEGRAL_AEE;FUND2_PARCIAL_AEE;FUND2_INTEGRAL_AEE;MEDIO_PARCIAL_AEE;MEDIO_INTEGRAL_AEE;EJA_FUND_AEE;EJA_MEDIO_AEE;TOTAL_AEE;POR_CENTO_AEE
BR;BRASIL;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;BRASIL;Estadual Urbana;473;1191;40384;871;1151844;139380;3094700;831635;4065857;1327441;152233;482161;;;43;38;3380;74;67057;6821;174994;43531;177905;70781;9471;18251
BR;BRASIL;Estadual Rural;1858;374;7779;378;103956;6304;193533;25494;312896;72061;28692;55526;;;48;7;251;11;4781;261;10153;1437;11009;3423;654;1660
BR;BRASIL;Municipal Urbana;841888;1541660;2543811;502558;6351383;1469939;2895393;794465;29506;2623;587652;4528;;;40922;43723;204519;38069;503837;96403;211226;55548;1116;387;36250;209
BR;BRASIL;Municipal Rural;215196;101302;542043;74450;1306080;369444;698710;222816;2754;374;404583;690;;;7136;3381;26095;4909;76780;23180;40873;13915;95;11;11914;18
BR;BRASIL;Estadual e Municipal;1059415;1644527;3134017;578257;8913263;1985067;6882336;1874410;4411013;1402499;1173160;542905;;;48149;47149;234245;43063;652455;126665;437246;114431;190125;74602;58289;20138
AC;ACRE;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC;ACRE;Estadual Urbana;1;0;0;0;18309;1488;30296;1460;16280;5986;5051;5735;;;17;0;49;0;3007;281;4033;212;1453;653;390;304
AC;ACRE;Estadual Rural;0;0;182;0;7601;96;13217;52;8186;119;1694;997;;;0;0;2;0;603;10;1271;1;548;2;62;48
AC;ACRE;Municipal Urbana;6128;3741;15485;141;20902;3009;2407;32;0;0;1746;0;;;621;347;2520;20;3249;395;207;1;0;0;88;0
AC;ACRE;Municipal Rural;1424;26;6380;115;16064;386;4449;4;0;0;3640;0;;;69;0;261;2;987;23;216;1;0;0;62;0
AC;ACRE;Estadual e Municipal;7553;3767;22047;256;62876;4979;50369;1548;24466;6105;12131;6732;;;707;347;2832;22;7846;709;5727;215;2001;655;602;352
AC;ACRELANDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC;ACRELANDIA;Estadual Urbana;0;0;0;0;0;0;572;0;221;82;34;95;;;0;0;0;0;0;0;44;0;26;10;2;4
AC;ACRELANDIA;Estadual Rural;0;0;0;0;0;0;159;0;125;107;19;20;;;0;0;0;0;0;0;28;0;8;2;0;2
